Protein IDs	Gene names	Protein names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	mean_control_log2_LFQ intensity IgG_ChIP_01	mean_control_log2_LFQ intensity IgG_ChIP_02	mean_control_log2_LFQ intensity IgG_ChIP_03	mean_control_log2_LFQ intensity IgG_ChIP_04	mean_treatment_log2_LFQ intensity TRF2_ChIP_01	mean_treatment_log2_LFQ intensity TRF2_ChIP_02	mean_treatment_log2_LFQ intensity TRF2_ChIP_03	mean_treatment_log2_LFQ intensity TRF2_ChIP_04	mean_log2_fold_change	std_log2_fold_change	mean_-log10_pval	std_-1og10_pval
Q9P258	RCC2	Protein RCC2	1	12	12	12	32.799999999999997	32.799999999999997	32.799999999999997	56.084000000000003	522	24.638927701405059	24.803609293858781	24.397151298737569	24.23972554443894	24.93098235538104	24.451487829946672	25.229860299944299	25.459327049395981	0.4980609240569116	0	1.024463915416302	0
A0A7I2V428;C9JLB1;A0A7I2V3F3;H7BY16;P19338;A0A7I2V5M5;A0A7I2V2U7;A0A7I2V699;A0A7I2V349;A0A7I2V506;A0A7I2V2S8	NCL	Nucleolin	11	22	22	22	30.9	30.9	30.9	74.73899999999999	689	27.261230384253171	27.118128551342391	27.219096272088819	27.361017157803129	27.75353383519322	27.460842936933322	27.850968246331782	27.879059404177909	0.49623301428717781	0	2.4294415381221302	0
Q5JRI1;O75494-5;O75494-4;O75494-6;O75494-3;O75494-2;O75494;Q6IQ42;Q8WXF0;R4GMP8	SRSF10	Serine/arginine-rich splicing factor 10	10	5	5	5	35.5	35.5	35.5	20.913	172	25.25817782032944	25.14008582912972	25.885811417510151	25.754630040272481	25.990620946104571	25.838988056156879	25.753202260315181	26.391524708978299	0.48390771607828498	0	1.0901992895887009	0
Q9NQW6-2;Q9NQW6;H7C3S1;H7C1C2;H7C1K5	ANLN	Actin-binding protein anillin	5	16	16	16	19	19	19	120.01	1087	23.970970204731891	22.45824434314952	23.870983230624891	23.438602026754129	23.91369512604939	23.38548117296807	24.216674820385421	24.108848565293499	0.47147496985899312	0.42867147875494788	0.39710514892988907	0.25642121348457492
Q9NR30;Q9NR30-2	DDX21	Nucleolar RNA helicase 2	2	30	30	28	43.4	43.4	40	87.342999999999989	783	26.162655316280791	26.095530145685149	25.954224892510751	25.733477355981631	26.64883371428424	26.135650581498549	26.434201504407088	26.577299044630252	0.46252428359045078	0	1.689524620089119	0
Q08554-2;Q08554	DSC1	Desmocollin-1	2	9	9	9	14.6	14.6	14.6	93.834000000000003	840	22.14709186208988	25.73845969343283	23.197890374953641	22.924318875669691	22.920401597197081	26.117474748570231	24.38916286118058	22.37514965267901	0.44860701337021541	0.14702421022649839	0.15191424347341531	6.5280162266762462E-2
Q9P035;H3BPZ1;H3BS72;Q9P035-2;H3BRL8;H3BMZ1	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3	6	6	6	6	17.7	17.7	17.7	43.158999999999999	362	24.57605940530496	21.097615878535191	24.823716696837991	24.573230194344681	24.187446921906961	23.88259678237192	24.284609505061781	24.46257566039607	0.43665167367847602	7.685728238377014E-2	0.1895524287631718	2.0327264463838091E-2
Q13838-2;Q13838;A0A0G2JJZ9;Q5STU3;A0A140T9X3;F6WLT2;A0A140T9X9;A0A140TA18;F6S4E6;A0A0A0MT12;F6TRA5;F6UJC5;H0Y400;A0A140T996;A0A140T9L4;A0A140T973;A0A140T9K1;F6R6M7;F6QYI9;A0A0G2JJL7;H0YCC6;A0A140T9N3;A0A140T9K2	DDX39B	Spliceosome RNA helicase DDX39B	23	14	14	6	39.299999999999997	39.299999999999997	21	50.678999999999988	443	26.529665745801729	26.17409486114073	26.28721918660219	26.967302436376769	27.05465532030523	26.984136620128329	26.71463227937015	26.938427582087581	0.43339239299246662	0	1.1997795168004479	0
Q14137;Q14137-2;A0A075B729	BOP1	Ribosome biogenesis protein BOP1	3	9	9	9	17.2	17.2	17.2	83.628999999999991	746	24.249017363075279	23.963228423632231	24.308484022131491	24.239871190296501	24.960712209927951	24.125103785949129	24.499661494695399	24.900995384828079	0.43146796906626861	0	1.07095626937261	0
Q9P2N5;U3KPZ7	RBM27	RNA-binding protein 27	2	6	6	5	6.9	6.9	5.8	118.72	1060	22.845712085892369	23.21637879185441	23.249813093305779	22.644164349771199	23.125781725635381	23.441137742392218	23.68602854294965	23.407302000290571	0.42604542261101841	0	1.205288620455691	0
P33992;B1AHB1;B1AHA9;B1AHB2	MCM5	DNA replication licensing factor MCM5;DNA helicase	4	26	26	26	41.8	41.8	41.8	82.284999999999997	734	25.508846321906528	25.483853409267681	25.691949214889519	25.577875258333719	26.278170944623159	25.422491629139088	26.005345966616471	26.255352939355809	0.42470931883427099	0	1.080486215286987	0
A0A7I2YQA8;A0A7I2V5F1;A0A7I2YQQ0;A0A7I2V5D0;A0A7I2V490;P26358;P26358-2;P26358-3;A0A7I2V311;K7ENW7;A0A7I2V5F6;K7ENQ6;A0A7I2V2G5	DNMT1	DNA (cytosine-5)-methyltransferase 1	13	14	14	14	8.9	8.9	8.9	179.16	1577	24.874317640153059	24.242708349600029	24.532016745388191	24.15120177576015	25.057219670985699	24.29284565516155	25.191481275010311	24.952781764411139	0.42352096366681741	0	0.81963766180309683	0
E9PI39;P29692;E9PK01;E9PMW7;E9PL12;E9PPR1;E9PQ49;P29692-2;A0A087X1X7;P29692-3;E9PRY8;E9PN91;E9PIZ1;E9PL71;H0YCK7;E9PQZ1;E9PNW6;E9PKK3;E9PJD0;E9PK72;P29692-4;E9PK06	EEF1D	Elongation factor 1-delta	22	3	3	3	22.1	22.1	22.1	22.49	204	23.569990001986849	24.227658832008139	24.480128496019429	23.878767153586232	23.178417454936579	25.253604862282231	24.86017576863313	24.553093012995632	0.42218665381173182	0	0.37192271426556939	0
P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4	RPS9	40S ribosomal protein S9	5	10	10	10	39.200000000000003	39.200000000000003	39.200000000000003	22.591000000000001	194	25.865330029657439	26.03344972030462	26.280544527187111	25.280438330842461	26.606113963170039	26.284291789140319	25.88292323144594	26.373599728171051	0.42179152598393088	0	0.80474638080393246	0
Q13148;A0A087WYY0;A0A087X260;G3V162;B1AKP7;K7EN94;A0A0A0N0M3;A0A087WX29;K7EJM5;A0A087WXQ5;A0A087WV68;Q13148-4;A0A087WXV3;A0A087WX67;A0A087WW61;K7EJ99;A0A087WZC9;A0A0A0MSV7;A0A087WZM1;A0A087WYE7	TARDBP	TAR DNA-binding protein 43	20	8	8	8	33.1	33.1	33.1	44.738999999999997	414	25.269850347789369	25.415932305434008	25.49032599969793	25.607243384925251	25.909626880125611	26.048723331245782	26.09900678729511	25.356490657534859	0.40762390458869652	0	1.159908990950151	0
O75131;A0A087WYQ3;A0A087WXR6;E5RHZ0;A0A087WUS8;H0YB26;E7ENV7;Q86YQ8-2;Q9HCH3-2;Q96FN4-2;Q96FN4;Q8IYJ1;Q96A23;O95741;Q9UBL6-2;Q86YQ8;Q96A23-2;Q9HCH3;O95741-2;Q9UBL6	CPNE3	Copine-3	20	5	5	5	10.6	10.6	10.6	60.13	537	23.77625550561924	23.63267399310234	23.757048939876121	24.053247125912421	24.593147169544679	24.40723715860689	23.936968557066759	23.88408851836202	0.40055395976755293	0	1.060673271948799	0
C9JLU1;P52434;P52434-3;P52434-4;P52434-2;P52434-5	POLR2H	DNA-directed RNA polymerases I, II, and III subunit RPABC3	6	7	7	7	68.2	68.2	68.2	16.925000000000001	148	29.182317018933269	28.321522502788898	28.877363526064229	21.088563444179911	27.74033972865135	27.497927102017471	25.88026285258978	27.94503082913074	0.39844850510575353	0.1482962776853603	7.0806591427274315E-2	2.254233985214563E-2
Q15365;F8VTZ0	PCBP1	Poly(rC)-binding protein 1	2	12	12	10	54.5	54.5	45.8	37.497	356	26.58606139520764	26.835691346096471	27.038733325017059	26.571017815213239	27.144624171633321	26.926600761801708	27.251511593481219	27.240089631517431	0.38283056922482223	0	1.5316750780725741	0
P13010;C9JZ81;H7C0H9	XRCC5	X-ray repair cross-complementing protein 5	3	25	25	25	45.8	45.8	45.8	82.703999999999994	732	25.90999303476503	25.554557469991359	25.89843735293649	25.90561598524231	26.27575793582616	25.798501267869678	26.183192993795259	26.530142207107161	0.37974764041576847	0	1.135087520374003	0
B4DY09;Q12905;X6R6Z1;A0A0A0MRL0	ILF2	Interleukin enhancer-binding factor 2	4	8	8	8	33.5	33.5	33.5	38.909999999999997	352	23.790643607829111	24.699064471692552	25.590979418581131	25.58239055942537	23.926510279501141	25.456697820528149	25.693757903599511	26.09665644988268	0.37763609899583273	0	0.23910419732112359	0
Q13151	HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	1	7	7	7	28.9	28.9	28.9	30.84	305	26.76306583727958	26.65335133778397	26.897583666728281	27.275065224788541	27.77718406655713	27.09838442108612	27.311553347386209	26.888554493936748	0.37165256559646309	0	0.7890555378580727	0
C9JXB8;C9JNW5;P83731	RPL24	60S ribosomal protein L24	3	4	4	4	32.200000000000003	32.200000000000003	32.200000000000003	14.369	121	26.803535393504081	27.081722024570421	26.998303598056211	25.980872602806429	27.460374275843911	27.21103986496864	26.39744511002711	27.267673394772281	0.36802475666869577	0	0.48609762757306851	6.7986997775525911E-17
A0A7P0T870;A0A7P0Z4B9;Q16531;A0A7P0TB30;A0A7P0T965;A0A7P0Z3Z5;A0A7P0TAK7;F5GY55;Q16531-2;F5GZY8;A0A7P0Z4L2;F5GWI0;A0A7P0TAX4;F5H198;F5H2L3	DDB1	DNA damage-binding protein 1	15	13	13	13	15.9	15.9	15.9	118.44	1066	23.598438754771561	23.43479007709702	23.853100111814449	23.140975144084919	24.3837686187304	23.872299129509042	23.657418768951331	23.546513936261039	0.35817409142096679	0	0.7365866290022014	0
P12956;B1AHC9;P12956-2	XRCC6	X-ray repair cross-complementing protein 6	3	29	29	29	49.4	49.4	49.4	69.841999999999999	609	26.521916085781619	26.049325939062371	26.529710420734229	26.673574780190911	26.769259569752741	26.56559545137851	26.770520336276121	27.035905229138908	0.34168834019428468	0	1.064166400563749	0
Q9UQ35;Q9UQ35-2;I3L4D8;I3L1C0;I3L0N7;A0A087X1W1;I3L1I8;I3L182;Q9UQ35-3	SRRM2	Serine/arginine repetitive matrix protein 2	9	13	13	13	6.5	6.5	6.5	299.61	2752	23.35205097143227	23.165425959635019	23.17246291338817	22.83072486059946	23.362656603172649	23.32635706614278	23.443416082112609	23.73882043805548	0.33764637110715162	0	1.2456176902747	0
H0YKD8;P46779;P46779-2;P46779-3;H0YLP6;H0YMF4;P46779-4;P46779-5	RPL28	60S ribosomal protein L28	8	6	6	6	25.9	25.9	25.9	19.071999999999999	170	26.09872575193026	27.15170501672025	25.30730310790733	27.23927030634205	27.004103169047131	27.146858874975411	25.861880130773791	27.121491939549109	0.33433248286139161	0	0.24521038003598811	3.3993498887762962E-17
Q92973-2;Q92973;A0A7P0TBF0;A0A7P0Z4D3;A0A7P0T9C0;Q92973-3;A0A7P0T944;E7EW37;S4R398;O14787-2;A0A075B780;O14787	TNPO1	Transportin-1	12	10	10	10	14	14	14	101.31	890	24.294879843230941	24.153677576298481	24.702714656351429	24.77474845958135	25.153986752842052	24.17752051648954	24.821869331322269	25.055234765777989	0.3206477077424168	0	0.56055593707250595	0
P04792;A0A6Q8PFK8;A0A6Q8PGK1;A0A6Q8PHJ6;A0A6Q8PFE7;A0A6Q8PF43;A0A6Q8PHA6;A0A6Q8PH65;A0A6Q8PGY2;C9J3N8	HSPB1	Heat shock protein beta-1	10	13	13	13	77.099999999999994	77.099999999999994	77.099999999999994	22.782	205	28.60034720851322	28.636855359596652	28.856292014931789	28.72419620563522	29.11736079807303	28.746343274953691	28.89515828923205	29.33875134166685	0.31998072881218681	0	1.1907441911782339	0
P60842;J3KTB5;P60842-2;J3KT12;J3QS69;J3QL43;Q14240-2;Q14240;E7EQG2;J3QR64;J3QLN6;J3KSZ0;J3KS25;J3QKZ9;J3KTN0;J3KSN7;J3KS93;E7EMV8;J3KT04	EIF4A1	Eukaryotic initiation factor 4A-I;Eukaryotic initiation factor 4A-II;Eukaryotic initiation factor 4A-II, N-terminally processed	19	15	15	14	38.700000000000003	38.700000000000003	34.700000000000003	46.152999999999999	406	25.287113480460349	25.147285989280579	25.316723466208519	25.87178231236545	25.45189652097547	25.888717055049639	25.8506464064284	25.688938575847938	0.31432332749664132	0	0.83664777639520116	0
D6R9P3;D6RD18;D6RBZ0;Q99729-3;Q99729-2;Q99729-4;Q99729	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	7	4	4	4	15	15	15	30.302	280	26.256505151092568	26.879351595579589	26.968840959570439	27.135161283531879	26.843739372274129	27.15421859177566	27.122775871554541	27.347563790320251	0.30710965903751841	0	0.67997887227682341	0
P50990-2;P50990;P50990-3;H7C4C8;H7C2U0	CCT8	T-complex protein 1 subunit theta	5	16	16	16	36.5	36.5	36.5	57.645000000000003	529	24.728685334437149	24.96670856725266	24.339465118073701	24.444301132338541	24.980415050516338	24.942348408077422	24.768452100579449	24.991486208397511	0.30088540386717	0	1.0293202650587521	0
Q96KR1;H0Y8W1	ZFR	Zinc finger RNA-binding protein	2	13	13	13	15.9	15.9	15.9	117.01	1074	24.105415571406741	24.251330996993421	23.9826796048972	23.607271609143751	24.068252147021411	24.267851957188611	24.319758106480251	24.48283847725509	0.29800072637605979	0	0.93618106509434018	0
Q93008;Q93008-3;O00507-2;O00507	USP9X	Probable ubiquitin carboxyl-terminal hydrolase FAF-X	4	14	14	14	6.4	6.4	6.4	290.45999999999998	2554	22.86328944227213	23.445817099246039	23.209493822818249	22.83483826927597	22.93845899101489	23.09308545560857	24.04443547798736	23.456760476932619	0.29482544198276273	0	0.46539524904930052	0
P09651;P09651-2;A0A7I2V3R8;F8W6I7;P09651-3;A0A7I2V3W0;A0A7I2V2L6;F8VZ49;A0A7I2YQX9;Q32P51;A0A2R8Y4L2;F8VTQ5;H0YH80;F8W646;A0A7I2V5U9;A0A7I2YQ85;A0A7I2V2R4;A0A7I2V334;A0A7I2V453;A0A7I2V661;A0A7I2V3K5;A0A7I2YQY2;A0A7I2V360;A0A7I2V459;A0A7I2V2M7;A0A7I2V4F8;A0A7I2V520;A0A7I2V5T1;A0A7I2V497;A0A7I2V2Q7;A0A7I2V3W4;A0A7I2V4M0;A0A7I2V3U8;A0A7I2V3C7;A0A7I2YQV3;A0A7I2V2F1;A0A7I2V5N7;A0A7I2V2X1;A0A7I2V5L7;A0A7I2V4E2;F8VYN5;A0A7I2V5P1;A0A7I2V666;A0A7I2V2Z4;A0A7I2V4P7;A0A7I2V5H0	HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2	46	15	14	14	47.3	44.9	44.9	38.746000000000002	372	28.04697642473824	28.169877762767509	28.453796984482331	28.561362303493141	28.70411408794569	28.355230771819571	28.755190567457049	28.56241811609463	0.28623501695893339	0	0.98157076033043877	1.359739955510518E-16
Q10570;A0A087X101;E9PIM1	CPSF1	Cleavage and polyadenylation specificity factor subunit 1	3	12	12	12	9.8000000000000007	9.8000000000000007	9.8000000000000007	160.88	1443	23.20909217544521	23.142471699667009	23.436951418386471	23.650971081257431	23.9014097737555	23.039842100796751	23.792729935077571	23.835570885607861	0.28251658012038661	0	0.56759277774087658	0
F5GWF6;P78371;F8VQ14;P78371-2	CCT2	T-complex protein 1 subunit beta	4	7	7	7	21.5	21.5	21.5	56.805999999999997	530	23.219410208558539	23.262270371277548	21.268188168360421	23.2756869038456	22.555599258105861	24.434408327580101	22.68897591426364	22.415397242128929	0.26720627250910189	4.7139763567401377E-2	0.1479144785900787	2.076711184072582E-2
A0A0B4J1Z1;C9JAB2;Q16629-3;Q16629-2;Q16629-4;Q16629;F8WEA1	SRSF7	Serine/arginine-rich splicing factor 7	7	6	6	5	43.1	43.1	43.1	15.763	137	27.89324977093046	27.95404735462613	27.849358328365781	27.837978186418191	28.414013538241431	28.055017500997732	27.923657178338171	28.14681033125694	0.25121622712342878	0	1.242521377693695	0
Q92616	GCN1L1	Translational activator GCN1	1	17	17	17	8.6	8.6	8.6	292.75	2671	23.307858952661221	22.953812083271529	23.13594408064327	23.163784170675392	23.54839673592911	23.477907446082291	23.36212147889319	23.17056937205756	0.24939893642768499	0	1.1945965927563029	0
P31943;G8JLB6;E9PCY7;D6RBM0;D6RIU0;D6R9T0;D6RIH9;D6RJ04;D6RDU3;D6RFM3;D6RIT2;D6RAM1;E7EQJ0;E7EN40;E5RGV0;D6RDL0;H0YB39;H0YBG7;H0YBD7;D6RF17;D6R9D3;E5RGH4;H0YAQ2;E5RJ94	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed	24	14	14	9	40.1	40.1	23.8	49.228999999999999	449	27.026015791024079	26.896313739430681	27.05434480732756	27.415787277757339	27.29289829961925	27.340450229099261	27.428462282354381	27.309820067859061	0.2447923158480769	0	1.1076026456186749	0
G5E9W3;Q9UKF6	CPSF3	Cleavage and polyadenylation specificity factor subunit 3	2	5	5	5	8.5	8.5	8.5	73.475999999999999	647	23.895689911260131	23.54415697602289	23.873144431142411	24.069973495815638	24.404056340786919	23.73107038338577	24.209107053268038	24.008384166375009	0.24241328239366669	0	0.64056686369873028	0
A0A7I2V4J2;A0A7I2V5Y7;A0A7I2V535;Q15233;Q15233-2;A0A7I2V4K9;A0A7P0MRW0;A0A7I2V4N2;A0A7I2V464;H7C367;C9JYS8;C9IZL7;C9J4X2;A0A7I2YQK8	NONO	Non-POU domain-containing octamer-binding protein	14	19	18	18	52.6	50.9	50.9	53.817999999999998	468	27.070403512295542	27.429420406275291	26.888670610886461	27.060542404203979	27.249071631353441	27.081620451363719	27.37492657316049	27.68839172405707	0.23624336156836631	0	0.66316603129293583	0
A0A669KB03;A0A669KBB4;A0A669KBK2;H0Y818;A0A669KAW3;P40692;F2Z298;E9PF25;H0Y5L7;P40692-3	MLH1	DNA mismatch repair protein Mlh1	10	2	2	2	5.3	5.3	5.3	57.531999999999996	512	22.237130584944659	22.618046685536569	22.21053461037318	22.079298570230929	22.425798131374311	22.39342592618679	22.482410566116911	22.780044077836159	0.23416706260720821	2.952951812666741E-2	0.65593002688691637	0.2157984817417864
O43143	DHX15	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	1	18	18	18	26.8	26.8	26.8	90.932000000000002	795	25.24601133233017	24.78641202459297	25.220480772090369	25.134338889181279	25.546661118501799	24.901271657337709	25.340586053708389	25.479450204576601	0.22018150398243461	0	0.5741961408139914	0
Q06830;A0A0A0MSI0;A0A0A0MRQ5	PRDX1	Peroxiredoxin-1	3	12	12	9	60.8	60.8	47.7	22.11	199	28.623660944751752	28.86381285415386	28.958506917193361	28.246627535640801	28.770614849364751	28.810600365133642	29.075385419564601	28.915103765771299	0.21977403702362611	0	0.60185208473061957	0
Q96HJ9-2;A0A0A6YYJ8;Q9Y383-3;Q9Y383-2;Q9Y383;B8ZZ12	LUC7L2	Putative RNA-binding protein Luc7-like 2	6	5	5	3	12.4	12.4	8.5	54.222999999999999	458	26.103956072006561	26.607102255549659	26.01273773596882	24.71586314735594	26.024959722577179	25.888020235561171	26.28423882968357	26.111716430482598	0.21731900185588771	0	0.21011780324652529	0
P46087;P46087-4;P46087-2;P46087-3;F5GYR3;F5GWB7;F5H709;F5H5X6;F5H359;F5H8G6	NOP2	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	10	13	13	13	19.100000000000001	19.100000000000001	19.100000000000001	89.301000000000002	812	24.82148011065668	25.029727014199519	24.851528314952219	24.777409842392331	25.215119992498479	24.699699950192361	25.156457782794131	25.273056258930101	0.2160471755535838	0	0.74599063278732503	1.359739955510518E-16
A0A0A0MTB8;Q8NI36	WDR36	WD repeat-containing protein 36	2	16	16	16	22.3	22.3	22.3	99.364999999999995	895	24.241108586789959	23.48861098458789	23.768199673752409	23.50784882694553	24.28347953042725	23.448592241388759	23.98172195797131	24.089905596491271	0.1994828135507021	0	0.34122740343457453	0
P42285	SKIV2L2	Superkiller viralicidic activity 2-like 2	1	10	10	10	12.6	12.6	12.6	117.8	1042	24.152440207117611	24.28340887761787	24.334017896043029	24.57074283835242	24.964418784330618	24.094181446799581	24.432051970797289	24.604107059410769	0.18853736055183751	0	0.4149842345329296	0
P01857;A0A0A0MS08;A0A0A0MS07	IGHG1	Ig gamma-1 chain C region	3	15	15	5	49.7	49.7	23.6	36.104999999999997	330	34.621075224671593	34.890755496169056	34.64629705135598	34.064068298952677	34.368930530768601	34.720235929695271	34.837707565519551	34.958221682583982	0.16572490935451609	0	0.32587665226370721	0
P21333-2;P21333;Q60FE5;A0A7P0NMY4;A0A087WWY3;A0A7I2V3E6;F8WE98;H0Y5C6;H0Y5F3;A0A669KBC6;H7C2E7	FLNA	Filamin-A	11	92	92	85	50.1	50.1	46.8	280.01	2639	27.039779362650538	27.16480475457686	27.094262001535409	27.044477168953591	27.177026201933849	27.03936103860531	27.37898246137091	27.38697799213244	0.1597561015815252	0	0.91022940456703438	0
H0YA96;H0Y8G5;Q14103-4;Q14103-3;Q14103-2;Q14103;D6RAF8;D6RF44;D6RBQ9;D6RD83	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	10	8	8	8	40	40	40	23.811	210	26.518978568763242	27.023797153710959	27.083346224056228	26.96146311898751	26.716334265640558	26.914334031907821	27.119118597387889	27.460374275843911	0.15564402631556359	0	0.32332410298359582	0
P62937;F8WE65;C9J5S7;P62937-2;A0A7I2V5J5;A0A7I2V4V1;E5RIZ5;A0A7P0S768;P0DN26;A0A0H2UH34;A0A0B4J2A2;A0A075B767;A0A075B759;Q9Y536;F5H284	PPIA	Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed;Peptidyl-prolyl cis-trans isomerase	15	11	11	11	66.099999999999994	66.099999999999994	66.099999999999994	18.012	165	29.416512270394829	29.411449858880491	29.37322633304429	30.000481170203489	29.885953930182119	29.631158373018721	29.25700895450678	29.991183425621401	0.140908762701482	0	0.26044620503951932	0
P26641;P26641-2	EEF1G	Elongation factor 1-gamma	2	8	8	8	20.399999999999999	20.399999999999999	20.399999999999999	50.118000000000002	437	24.45744951784404	24.079119496027221	24.039089062915771	24.615714041698709	23.89532010797944	24.971759641162471	24.344417825234292	24.512075888395831	0.1330503360715731	0	0.1993353648995965	0
P08621-2;P08621;P08621-3;P08621-4;M0QYR1	SNRNP70	U1 small nuclear ribonucleoprotein 70 kDa	5	7	7	7	18.899999999999999	18.899999999999999	18.899999999999999	50.616999999999997	428	24.480991315070838	23.707883154440399	24.07944506895743	24.77389376750725	24.92587674445215	23.970619205389269	24.190012116149891	24.459889832723139	0.12604614818463489	0	0.15550850888098941	0
Q15366-2;Q15366-6;Q15366-3;Q15366;Q15366-7;Q15366-8;Q15366-5;Q15366-4;H3BRU6;F8VZX2;F8VXH9;F8W0G4;F8W1G6;J3QT27;H3BSS4;P57721;P57721-4;E9PFP8;P57721-5;P57721-3;P57721-2;F8VRH0;H3BND9	PCBP2	Poly(rC)-binding protein 2	23	9	7	7	39.1	30.6	30.6	38.651000000000003	366	25.773315306206129	26.11854445343748	26.177235355685418	26.338139252119749	26.280243617238899	26.146140261086131	26.130730482771931	26.334205486048319	0.1210213699241187	0	0.41511298680819159	0
P39023;G5E9G0;B5MCW2;H7C422;F8WCR1;H7C3M2;Q92901	RPL3	60S ribosomal protein L3	7	8	8	8	23.1	23.1	23.1	46.107999999999997	403	25.60983770441722	25.71858304309761	25.655727673668839	25.509933712228129	25.989755164555572	25.61893725361772	25.34228278326475	26.02523437474985	0.1205318606940189	0	0.30046013535800531	0
P31942-2;P31942;P31942-3;P31942-4;P31942-6;P31942-5	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	6	7	7	7	28.7	28.7	28.7	35.238	331	25.26920830978495	25.475682971533651	25.753890830627331	26.14285338460072	25.711957415947651	25.591521661760851	25.982897163301089	25.756692725158999	0.1003583674054838	0	0.1915477335042782	3.3993498887762962E-17
Q9UKM9;Q5QPL9;Q9UKM9-2;Q5QPM1;Q5QPM0;Q5QPM2	RALY	RNA-binding protein Raly	6	8	8	8	27.5	27.5	27.5	32.463000000000001	306	25.516470956499589	25.90111050480332	25.398521906448099	25.449442636368222	25.378089489617359	26.212302227851001	25.550130267850822	25.52187116883044	9.9211787507602622E-2	0	0.1768628774511668	0
Q9H0D6-2;Q9H0D6	XRN2	5-3 exoribonuclease 2	2	14	14	14	18.8	18.8	18.8	99.96	874	24.042599881712921	23.887904066251359	23.97867066357885	23.655236339005022	23.861548884678481	23.651737569476001	24.080665313503559	24.324504157523041	8.8511243658242478E-2	0	0.21023049558084009	0
P68363;P68363-2;C9JDS9	TUBA1B	Tubulin alpha-1B chain	3	22	22	0	69.2	69.2	0	50.151000000000003	451	28.798970875051719	28.453404531869559	29.016934797624131	29.204851326333301	29.185179721271339	28.99129156962211	28.682175074159758	28.915816116318979	7.5075237623376978E-2	0	0.14923446638121679	0
P62701;C9JEH7;P22090;Q8TD47	RPS4X	40S ribosomal protein S4, X isoform	4	16	16	16	54.8	54.8	54.8	29.597000000000001	263	26.830865063964339	26.56364770957623	26.568555630528159	26.37198929008094	26.824688045160091	26.531942405338562	26.68498591105195	26.512739016312139	5.4824420928266449E-2	0	0.1792791023083814	3.3993498887762962E-17
B4DY08;G3V4C1;G3V4W0;P07910-2;B2R5W2;P07910-4;P07910-3;G3V3K6;G3V5X6;G3V251;A0A0G2JPF8;B7ZW38;B2RXH8;O60812;B4DSU6;G3V2D6;P0DMR1;A0A0G2JNQ3;G3V5V7;G3V4M8;G3V2H6;B3KT61;E5RG71;Q86SE5;Q86SE5-3	HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoprotein C-like 3;Heterogeneous nuclear ribonucleoprotein C-like 2;Heterogeneous nuclear ribonucleoprotein C-like 1;Heterogeneous nuclear ribonucleoprotein C-like 4	25	14	14	1	42	42	6.2	31.971	288	27.596833416037601	27.414820053826439	27.55691212689716	27.342994815050631	28.003030931880801	27.58992288609825	27.385168454215641	27.14753831558313	5.352504399149538E-2	0	0.1031627359909499	1.6996749443881481E-17
Q8WXF1;Q8WXF1-2;X6RDA4	PSPC1	Paraspeckle component 1	3	6	6	6	14.5	14.5	14.5	58.743000000000002	523	24.830792546683629	24.273981086276621	24.135317876937101	24.704087696136721	24.613355136212789	24.577731226482069	24.466190502116689	24.48111453282219	4.8553047899915207E-2	0	0.1047253927203739	1.6996749443881481E-17
A0A087WUZ3;Q01082-3;Q01082-2;Q01082;F8W6C1	SPTBN1	Spectrin beta chain, non-erythrocytic 1	5	11	11	10	4.8	4.8	4.3	274.83	2366	22.154991119259108	22.588499627846719	22.121804138923949	22.256091180919992	22.837633651947051	23.013472562987179	21.645792102898369	21.799069720246571	4.3645492782352108E-2	4.9547673604572122E-2	3.9489423083084382E-2	4.4081256297102113E-2
Q07065	CKAP4	Cytoskeleton-associated protein 4	1	14	14	14	29.9	29.9	29.9	66.021999999999991	602	23.980502214522101	24.245757525036481	24.033386703551589	24.076430712239912	24.01707820746601	24.293126403406831	24.08820788001627	24.078386688190939	3.5180505932491002E-2	0	0.16324653997947011	0
Q92769-3;Q92769	HDAC2	Histone deacetylase 2	2	10	10	5	30.6	30.6	15.7	51.997999999999998	458	25.667009511504791	25.397902030910771	25.3283445801117	25.40334131473206	25.532195145879861	25.013078637445091	25.497653059839639	25.863606111427959	2.748387933330676E-2	0	5.063855914519181E-2	0
